communication type,robot number,N_cooperate,N_against,N_task,N_alone,N_stuck,N_out,N_wait
NC,2,5,0,2,10,0,2,0
NC,2,2,0,3,8,2,1,0
NC,2,0,1,1,3,2,0,0
NC,2,1,2,2,9,1,0,0
NC,2,1,2,2,8,0,0,0
NC,3,0,0,4,17,4,3,0
NC,3,2,0,3,9,3,2,0
NC,3,0,2,4,13,2,2,0
NC,3,0,0,4,20,2,0,0
NC,3,3,2,5,11,1,5,0
NC,4,0,1,3,23,3,2,0
NC,4,2,1,4,17,2,3,0
NC,4,3,4,7,18,1,3,0
NC,4,2,3,3,6,1,2,0
NC,4,2,2,6,10,3,5,0
NC,5,3,1,4,5,2,9,0
NC,5,3,5,2,9,0,3,0
NC,5,0,0,2,13,5,1,0
NC,5,3,3,4,7,2,2,0
NC,5,0,1,6,17,4,6,0
IC,2,0,1,2,7,0,2,0
IC,2,0,0,3,6,0,0,0
IC,2,1,1,3,8,0,1,0
IC,2,0,2,4,9,0,1,0
IC,2,1,1,1,4,3,0,0
IC,3,2,3,4,11,1,2,0
IC,3,1,2,3,7,0,0,0
IC,3,2,2,5,10,0,2,0
IC,3,1,2,4,11,0,2,0
IC,3,0,2,3,15,0,3,0
IC,4,2,4,4,15,2,4,0
IC,4,3,1,9,12,0,1,0
IC,4,0,0,4,16,2,3,0
IC,4,1,4,4,16,1,4,0
IC,4,3,4,4,7,0,5,0
IC,5,2,6,4,20,1,7,0
IC,5,3,1,6,10,0,10,0
IC,5,2,2,4,12,1,7,0
IC,5,3,3,3,7,3,9,0
IC,5,2,2,3,12,3,8,0
EC-R,2,1,1,3,4,0,1,12
EC-R,2,0,0,2,6,0,1,10
EC-R,2,0,0,2,7,0,0,12
EC-R,2,1,0,3,6,0,0,14
EC-R,2,1,1,3,3,1,0,8
EC-R,3,3,2,3,5,0,1,15
EC-R,3,3,2,3,5,1,3,10
EC-R,3,1,2,7,6,0,1,13
EC-R,3,1,1,2,8,2,5,23
EC-R,3,1,3,1,3,4,2,10
EC-R,4,3,4,4,10,1,7,26
EC-R,4,0,1,2,9,2,5,21
EC-R,4,5,1,3,7,2,8,22
EC-R,4,1,1,3,6,1,3,18
EC-R,4,3,1,3,5,0,7,24
EC-R,5,2,2,4,3,0,4,20
EC-R,5,4,2,5,6,0,11,20
EC-R,5,2,3,2,6,0,0,22
EC-R,5,3,3,2,4,1,4,20
EC-R,5,4,1,3,4,1,8,21
EC-H,2,0,0,3,6,2,0,7
EC-H,2,0,0,4,8,0,0,10
EC-H,2,0,0,3,6,2,0,7
EC-H,2,3,0,3,2,1,2,11
EC-H,2,0,0,3,8,0,0,8
EC-H,3,1,1,3,6,3,3,12
EC-H,3,1,1,2,3,1,3,11
EC-H,3,2,1,4,5,2,2,12
EC-H,3,2,2,0,0,0,0,5
EC-H,3,0,0,2,7,1,3,15
EC-H,4,2,2,3,5,2,2,11
EC-H,4,3,3,3,3,0,5,16
EC-H,4,2,2,2,1,4,4,16
EC-H,4,3,2,3,4,1,3,20
EC-H,4,0,1,2,5,1,4,17
EC-H,5,3,2,3,6,0,9,28
EC-H,5,5,2,2,2,1,6,17
EC-H,5,3,2,4,2,1,0,16
EC-H,5,2,3,2,3,1,1,12
EC-H,5,4,1,3,4,3,5,16
